dir,source_id,experiment_id,time,hfls,hfss,pr,tas
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-01-14T16:56:02Z,96.9914627971064,8.24505912422372,0.000108058150442355,296.720702409845
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-02-13T04:56:02Z,105.425051288723,8.60932285258284,9.46261948862055e-05,297.021440536993
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-03-14T16:56:02Z,117.604333784145,10.6908084162192,0.00010222109132821,297.409067268809
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-04-14T04:56:02Z,104.717655265728,9.74649579185366,0.000130718492916666,297.195828235158
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-05-14T16:56:02Z,104.747695631015,10.5361643074017,9.55367332335365e-05,297.363321268164
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-06-14T04:56:02Z,114.22518749418,11.6944515094513,5.59181427244683e-05,297.365315363662
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-07-14T16:56:02Z,133.305429609383,14.03515347989,2.55441422682589e-05,297.529424473937
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-08-14T16:56:02Z,152.054770205072,26.783269374873,8.69398922349855e-06,298.005046133321
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-09-14T04:56:02Z,108.283598137837,79.7885595795266,2.53237505989775e-06,300.463160065963
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-10-14T16:56:02Z,88.956064800094,93.4145721616639,7.32846032356664e-06,301.605133681345
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-11-14T04:56:02Z,98.3849652043003,31.6459637406604,6.60100253867435e-05,298.897004911186
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1850-12-14T16:56:02Z,102.794620600625,10.9856640526028,8.68875269705832e-05,297.50728990693
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-01-14T16:56:02Z,104.018267922018,9.49749561486921,0.00010685529480002,297.298583271912
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-02-13T04:56:02Z,109.897146755241,10.7141859394301,0.000106837516485599,297.493445725221
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-03-14T16:56:02Z,108.767046077321,8.90371965318339,0.000108122315360809,297.728960107166
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-04-14T04:56:02Z,117.83111549392,11.6866994328146,0.000101363985053073,298.049844917978
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-05-14T16:56:02Z,97.5458248963096,9.27653104668567,0.000112022833757753,297.592427223977
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-06-14T04:56:02Z,113.580903480841,11.1804419264888,7.55143416792929e-05,297.93870564176
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-07-14T16:56:02Z,129.518164674198,13.556818269258,2.71050636429492e-05,297.785416143746
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-08-14T16:56:02Z,147.866354273889,18.5222217849877,1.15773018326529e-05,297.938186010759
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-09-14T04:56:02Z,130.041170214475,61.6374221907667,4.57162984905519e-06,300.151341310387
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-10-14T16:56:02Z,97.992435065851,52.4797818260371,5.62421330055217e-05,299.803385301652
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-11-14T04:56:02Z,101.668960893359,11.2867578296291,0.000103620332540316,297.705567145228
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1851-12-14T16:56:02Z,84.274529731454,7.09248965917819,0.000115947751914815,296.781331098039
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1852-01-14T16:56:02Z,101.250168177442,9.16293047870211,8.38376768226066e-05,296.810697515255
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1852-02-13T04:56:02Z,118.270811398788,9.82041939190533,7.3957883645614e-05,297.49765294715
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1852-03-14T16:56:02Z,130.851593327,12.58306394565,7.7941477399847e-05,297.879183777187
/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/historical,taiesm1,historical,1852-04-14T04:56:02Z,114.47334864934,11.9791443710479,0.000119891023947316,297.764099695652
