source_id,experiment_id,time,hfls,hfss,pr,tas,tasmax,tasmin
awi_cm_1_1_mr,historical,1850-01-16T12:00:00Z,129.523146969591,31.0677776101125,3.70946868806256e-05,300.184469305709,307.420477936131,295.972210160314
awi_cm_1_1_mr,historical,1850-02-15T00:00:00Z,104.904206219551,41.6234579964143,5.05748000262025e-05,300.528632596551,307.648115508062,296.256460168751
awi_cm_1_1_mr,historical,1850-03-16T12:00:00Z,114.312010886073,35.7005549415256,6.34936523693046e-05,300.121959761924,308.512714746434,295.5097145624
awi_cm_1_1_mr,historical,1850-04-16T00:00:00Z,129.163536416739,11.981812719024,0.000105604791530629,297.294525152055,301.905592060063,294.478859279249
awi_cm_1_1_mr,historical,1850-05-16T12:00:00Z,136.19651630985,10.7191066253356,8.93763499950527e-05,297.232769446356,301.557480569845,293.27772481329
awi_cm_1_1_mr,historical,1850-06-16T00:00:00Z,130.940770221963,12.9959360735058,8.18880614717543e-06,297.266191457527,302.385170372945,292.807434372642
awi_cm_1_1_mr,historical,1850-07-16T12:00:00Z,110.416644121331,24.3276687395199,4.84220473518717e-06,297.896670612073,304.766944440835,292.162196865014
awi_cm_1_1_mr,historical,1850-08-16T12:00:00Z,90.5200280778522,41.8178974435925,1.83493056195669e-05,300.600310424162,308.273119278278,294.484040132859
awi_cm_1_1_mr,historical,1850-09-16T00:00:00Z,77.9386061568445,59.3144668687981,2.59184619283801e-05,302.031543751633,309.965689175178,295.910885789799
awi_cm_1_1_mr,historical,1850-10-16T12:00:00Z,99.687215057841,57.5505351621534,3.8110028490504e-05,301.748323846806,311.476100648126,295.037293048073
awi_cm_1_1_mr,historical,1850-11-16T00:00:00Z,138.591074250199,20.1158706193536,9.33610406034019e-05,298.553055383024,307.553360867565,294.607646323451
awi_cm_1_1_mr,historical,1850-12-16T12:00:00Z,131.401768564067,16.554301471721,6.49339711443398e-05,297.838075355266,303.865716555723,294.292620408006
awi_cm_1_1_mr,historical,1851-01-16T12:00:00Z,129.388183090058,17.2095790982246,6.65373136067696e-05,297.979543892699,304.186388996173,294.274759368869
awi_cm_1_1_mr,historical,1851-02-15T00:00:00Z,127.42844390984,20.4481265823261,5.22351766873775e-05,298.226431223619,304.78113426097,294.363544235407
awi_cm_1_1_mr,historical,1851-03-16T12:00:00Z,130.398631326834,22.2567188518139,8.49571777538576e-05,298.797976121069,305.936219004225,295.0384440975
awi_cm_1_1_mr,historical,1851-04-16T00:00:00Z,113.188477698494,10.6014972877974,0.000133583103316757,296.930653707242,301.458022996629,294.366371974996
awi_cm_1_1_mr,historical,1851-05-16T12:00:00Z,145.601598548958,12.998224384184,9.30658581944498e-05,297.187021970275,301.341831228382,293.806119957074
awi_cm_1_1_mr,historical,1851-06-16T00:00:00Z,134.563609617242,13.2211009050133,4.09262852332447e-05,296.714439354633,301.054311110335,292.205169589812
awi_cm_1_1_mr,historical,1851-07-16T12:00:00Z,136.81781516161,15.9300695026041,1.3214061510323e-05,296.978869210059,302.696335562576,292.194353104383
awi_cm_1_1_mr,historical,1851-08-16T12:00:00Z,141.71104899053,17.0312890032982,3.47576434517854e-05,297.800092392689,304.289658421697,292.835892289363
awi_cm_1_1_mr,historical,1851-09-16T00:00:00Z,148.719439449378,24.7616218323624,3.4846021602306e-05,298.43037181588,305.556507357998,293.842819722005
awi_cm_1_1_mr,historical,1851-10-16T12:00:00Z,136.677649560789,29.5101647255708,5.63343261496991e-05,298.959851042173,307.091323568714,294.268160230974
awi_cm_1_1_mr,historical,1851-11-16T00:00:00Z,137.785870829236,18.7316865189118,8.53122382333107e-05,298.032997411642,304.437030335747,294.128341785998
awi_cm_1_1_mr,historical,1851-12-16T12:00:00Z,123.514406957512,10.815434230307,0.000128501857652235,297.062696901808,301.040551577845,294.623361614026
awi_cm_1_1_mr,historical,1852-01-16T12:00:00Z,146.09495487997,11.998271503665,5.19038619927332e-05,297.34443291519,302.033562344039,293.775002771251
awi_cm_1_1_mr,historical,1852-02-15T12:00:00Z,122.33147559863,10.4950156048451,7.78424077928827e-05,297.188755870775,302.255952288173,294.39415403403
awi_cm_1_1_mr,historical,1852-03-16T12:00:00Z,135.004567505453,12.9086658345053,9.20376307394335e-05,297.431164033313,302.447351912906,294.273840923366
awi_cm_1_1_mr,historical,1852-04-16T00:00:00Z,144.8289096851,10.4339451650789,9.54860852433064e-05,297.419804397195,302.037057593484,294.183298960754
awi_cm_1_1_mr,historical,1852-05-16T12:00:00Z,143.014192835244,12.1291529165159,8.53748941194705e-05,296.865150940482,301.223407901443,293.745153679516
awi_cm_1_1_mr,historical,1852-06-16T00:00:00Z,113.241073290742,8.75576461157494,5.17241428108116e-05,295.922935915644,300.012038839936,292.326199315211
awi_cm_1_1_mr,historical,1852-07-16T12:00:00Z,129.231132879447,9.7599407930222,4.29077497357393e-06,295.989450572873,301.307237105165,291.282489531144
awi_cm_1_1_mr,historical,1852-08-16T12:00:00Z,128.695105258477,12.8309817084709,3.29732581813305e-06,297.197714177806,304.243446560701,291.647041973207
awi_cm_1_1_mr,historical,1852-09-16T00:00:00Z,139.19636901257,26.8418390433649,2.01785497606152e-05,299.430396283121,306.813243348428,293.581410804466
awi_cm_1_1_mr,historical,1852-10-16T12:00:00Z,119.534319912734,40.2930872894594,4.17239338076104e-05,300.447146317588,310.037831983308,294.095840282999
awi_cm_1_1_mr,historical,1852-11-16T00:00:00Z,138.299938532621,21.4878879285568,8.6283324983268e-05,297.938363715144,304.33951153865,294.15107814367
