experiment_id,variable_long_name0,variable_id,source_id0,variable_long_name,source_id,dir,file_name,path
ssp245,Daily Minimum Near-Surface Air Temperature,tasmin,BCC-CSM2-MR,daily_minimum_near_surface_air_temperature,bcc_csm2_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245,tasmin_ssp245_bcc_csm2_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245/tasmin_ssp245_bcc_csm2_mr.zip
ssp245,Daily Minimum Near-Surface Air Temperature,tasmin,CanESM5,daily_minimum_near_surface_air_temperature,canesm5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245,tasmin_ssp245_canesm5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245/tasmin_ssp245_canesm5.zip
ssp245,Daily Minimum Near-Surface Air Temperature,tasmin,CAS-ESM2-0,daily_minimum_near_surface_air_temperature,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245,tasmin_ssp245_cas_esm2_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245/tasmin_ssp245_cas_esm2_0.zip
ssp245,Daily Minimum Near-Surface Air Temperature,tasmin,EC-Earth3-Veg-LR,daily_minimum_near_surface_air_temperature,ec_earth3_veg_lr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245,tasmin_ssp245_ec_earth3_veg_lr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245/tasmin_ssp245_ec_earth3_veg_lr.zip
ssp245,Near-Surface Air Temperature,tas,ACCESS-ESM1-5,near_surface_air_temperature,access_esm1_5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245,tas_ssp245_access_esm1_5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245/tas_ssp245_access_esm1_5.zip
ssp245,Near-Surface Air Temperature,tas,AWI-CM-1-1-MR,near_surface_air_temperature,awi_cm_1_1_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245,tas_ssp245_awi_cm_1_1_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245/tas_ssp245_awi_cm_1_1_mr.zip
ssp245,Near-Surface Air Temperature,tas,BCC-CSM2-MR,near_surface_air_temperature,bcc_csm2_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245,tas_ssp245_bcc_csm2_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245/tas_ssp245_bcc_csm2_mr.zip
ssp245,Near-Surface Air Temperature,tas,CAMS-CSM1-0,near_surface_air_temperature,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245,tas_ssp245_cams_csm1_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245/tas_ssp245_cams_csm1_0.zip
ssp245,Near-Surface Air Temperature,tas,CanESM5,near_surface_air_temperature,canesm5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245,tas_ssp245_canesm5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245/tas_ssp245_canesm5.zip
ssp245,Near-Surface Air Temperature,tas,CAS-ESM2-0,near_surface_air_temperature,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245,tas_ssp245_cas_esm2_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245/tas_ssp245_cas_esm2_0.zip
ssp245,Near-Surface Air Temperature,tas,CMCC-CM2-SR5,near_surface_air_temperature,cmcc_cm2_sr5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245,tas_ssp245_cmcc_cm2_sr5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245/tas_ssp245_cmcc_cm2_sr5.zip
ssp245,Near-Surface Air Temperature,tas,EC-Earth3-Veg-LR,near_surface_air_temperature,ec_earth3_veg_lr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245,tas_ssp245_ec_earth3_veg_lr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245/tas_ssp245_ec_earth3_veg_lr.zip
ssp245,Near-Surface Air Temperature,tas,FGOALS-f3-L,near_surface_air_temperature,fgoals_f3_l,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245,tas_ssp245_fgoals_f3_l.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245/tas_ssp245_fgoals_f3_l.zip
